"","short","long","gold","silver","bronze","total","long2","yr"
"1","NOR","Norway","14","14","11","39","Norway","pyeongchang-2018"
"2","GER","Germany","14","10","7","31","Germany","pyeongchang-2018"
"3","CAN","Canada","11","8","10","29","Canada","pyeongchang-2018"
"4","USA","United States of America","9","8","6","23","United States of America","pyeongchang-2018"
"5","NED","Netherlands","8","6","6","20","Netherlands","pyeongchang-2018"
"6","SWE","Sweden","7","6","1","14","Sweden","pyeongchang-2018"
"7","KOR","Republic of Korea","5","8","4","17","Republic of Korea","pyeongchang-2018"
"8","SUI","Switzerland","5","6","4","15","Switzerland","pyeongchang-2018"
"9","FRA","France","5","4","6","15","France","pyeongchang-2018"
"10","AUT","Austria","5","3","6","14","Austria","pyeongchang-2018"
"11","JPN","Japan","4","5","4","13","Japan","pyeongchang-2018"
"12","ITA","Italy","3","2","5","10","Italy","pyeongchang-2018"
"13","OAR","Olympic Athletes from Russia","2","6","9","17","Olympic Athletes from Russia","pyeongchang-2018"
"14","CZE","Czech Republic","2","2","3","7","Czech Republic","pyeongchang-2018"
"15","BLR","Belarus","2","1","-","3","Belarus","pyeongchang-2018"
"16","CHN","People's Republic of China","1","6","2","9","People's Republic of China","pyeongchang-2018"
"17","SVK","Slovakia","1","2","-","3","Slovakia","pyeongchang-2018"
"18","FIN","Finland","1","1","4","6","Finland","pyeongchang-2018"
"19","GBR","Great Britain","1","-","4","5","Great Britain","pyeongchang-2018"
"20","POL","Poland","1","-","1","2","Poland","pyeongchang-2018"
"21","UKR","Ukraine","1","-","-","1","Ukraine","pyeongchang-2018"
"22","HUN","Hungary","1","-","-","1","Hungary","pyeongchang-2018"
"23","AUS","Australia","-","2","1","3","Australia","pyeongchang-2018"
"24","SLO","Slovenia","-","1","1","2","Slovenia","pyeongchang-2018"
"25","BEL","Belgium","-","1","-","1","Belgium","pyeongchang-2018"
"26","NZL","New Zealand","-","-","2","2","New Zealand","pyeongchang-2018"
"27","ESP","Spain","-","-","2","2","Spain","pyeongchang-2018"
"28","KAZ","Kazakhstan","-","-","1","1","Kazakhstan","pyeongchang-2018"
"29","LIE","Liechtenstein","-","-","1","1","Liechtenstein","pyeongchang-2018"
"30","LAT","Latvia","-","-","1","1","Latvia","pyeongchang-2018"
"31","USA","United States of America","46","37","38","121","United States of America","rio-2016"
"32","GBR","Great Britain","27","23","17","67","Great Britain","rio-2016"
"33","CHN","People's Republic of China","26","18","26","70","People's Republic of China","rio-2016"
"34","RUS","Russian Federation","19","17","20","56","Russian Federation","rio-2016"
"35","GER","Germany","17","10","15","42","Germany","rio-2016"
"36","JPN","Japan","12","8","21","41","Japan","rio-2016"
"37","FRA","France","10","18","14","42","France","rio-2016"
"38","KOR","Republic of Korea","9","3","9","21","Republic of Korea","rio-2016"
"39","ITA","Italy","8","12","8","28","Italy","rio-2016"
"40","AUS","Australia","8","11","10","29","Australia","rio-2016"
"41","NED","Netherlands","8","7","4","19","Netherlands","rio-2016"
"42","HUN","Hungary","8","3","4","15","Hungary","rio-2016"
"43","BRA","Brazil","7","6","6","19","Brazil","rio-2016"
"44","ESP","Spain","7","4","6","17","Spain","rio-2016"
"45","KEN","Kenya","6","6","1","13","Kenya","rio-2016"
"46","JAM","Jamaica","6","3","2","11","Jamaica","rio-2016"
"47","CRO","Croatia","5","3","2","10","Croatia","rio-2016"
"48","CUB","Cuba","5","2","4","11","Cuba","rio-2016"
"49","NZL","New Zealand","4","9","5","18","New Zealand","rio-2016"
"50","CAN","Canada","4","3","15","22","Canada","rio-2016"
"51","UZB","Uzbekistan","4","2","7","13","Uzbekistan","rio-2016"
"52","KAZ","Kazakhstan","3","5","10","18","Kazakhstan","rio-2016"
"53","COL","Colombia","3","2","3","8","Colombia","rio-2016"
"54","SUI","Switzerland","3","2","2","7","Switzerland","rio-2016"
"55","IRI","Islamic Republic of Iran","3","1","4","8","Islamic Republic of Iran","rio-2016"
"56","GRE","Greece","3","1","2","6","Greece","rio-2016"
"57","ARG","Argentina","3","1","-","4","Argentina","rio-2016"
"58","DEN","Denmark","2","6","7","15","Denmark","rio-2016"
"59","SWE","Sweden","2","6","3","11","Sweden","rio-2016"
"60","RSA","South Africa","2","6","2","10","South Africa","rio-2016"
"61","UKR","Ukraine","2","5","4","11","Ukraine","rio-2016"
"62","SRB","Serbia","2","4","2","8","Serbia","rio-2016"
"63","POL","Poland","2","3","6","11","Poland","rio-2016"
"64","PRK","Democratic People's Republic of Korea","2","3","2","7","Democratic People's Republic of Korea","rio-2016"
"65","THA","Thailand","2","2","2","6","Thailand","rio-2016"
"66","BEL","Belgium","2","2","2","6","Belgium","rio-2016"
"67","SVK","Slovakia","2","2","-","4","Slovakia","rio-2016"
"68","GEO","Georgia","2","1","4","7","Georgia","rio-2016"
"69","AZE","Azerbaijan","1","7","10","18","Azerbaijan","rio-2016"
"70","BLR","Belarus","1","4","4","9","Belarus","rio-2016"
"71","TUR","Turkey","1","3","4","8","Turkey","rio-2016"
"72","ARM","Armenia","1","3","-","4","Armenia","rio-2016"
"73","CZE","Czech Republic","1","2","7","10","Czech Republic","rio-2016"
"74","ETH","Ethiopia","1","2","5","8","Ethiopia","rio-2016"
"75","SLO","Slovenia","1","2","1","4","Slovenia","rio-2016"
"76","INA","Indonesia","1","2","-","3","Indonesia","rio-2016"
"77","ROU","Romania","1","1","2","4","Romania","rio-2016"
"78","BRN","Bahrain","1","1","-","2","Bahrain","rio-2016"
"79","VIE","Vietnam","1","1","-","2","Vietnam","rio-2016"
"80","TPE","Chinese Taipei","1","-","2","3","Chinese Taipei","rio-2016"
"81","CIV","Ivory Coast","1","-","1","2","Ivory Coast","rio-2016"
"82","BAH","Bahamas","1","-","1","2","Bahamas","rio-2016"
"83","IOA","Independent Olympic Athletes","1","-","1","2","Independent Olympic Athletes","rio-2016"
"84","KOS","Kosovo","1","-","-","1","Kosovo","rio-2016"
"85","PUR","Puerto Rico","1","-","-","1","Puerto Rico","rio-2016"
"86","TJK","Tajikistan","1","-","-","1","Tajikistan","rio-2016"
"87","FIJ","Fiji","1","-","-","1","Fiji","rio-2016"
"88","SGP","Singapore","1","-","-","1","Singapore","rio-2016"
"89","JOR","Jordan","1","-","-","1","Jordan","rio-2016"
"90","MAS","Malaysia","-","4","1","5","Malaysia","rio-2016"
"91","MEX","Mexico","-","3","2","5","Mexico","rio-2016"
"92","VEN","Venezuela","-","2","1","3","Venezuela","rio-2016"
"93","IRL","Ireland","-","2","-","2","Ireland","rio-2016"
"94","ALG","Algeria","-","2","-","2","Algeria","rio-2016"
"95","LTU","Lithuania","-","1","3","4","Lithuania","rio-2016"
"96","BUL","Bulgaria","-","1","2","3","Bulgaria","rio-2016"
"97","IND","India","-","1","1","2","India","rio-2016"
"98","MGL","Mongolia","-","1","1","2","Mongolia","rio-2016"
"99","BDI","Burundi","-","1","-","1","Burundi","rio-2016"
"100","PHI","Philippines","-","1","-","1","Philippines","rio-2016"
"101","QAT","Qatar","-","1","-","1","Qatar","rio-2016"
"102","GRN","Grenada","-","1","-","1","Grenada","rio-2016"
"103","NIG","Niger","-","1","-","1","Niger","rio-2016"
"104","NOR","Norway","-","-","4","4","Norway","rio-2016"
"105","TUN","Tunisia","-","-","3","3","Tunisia","rio-2016"
"106","EGY","Egypt","-","-","3","3","Egypt","rio-2016"
"107","ISR","Israel","-","-","2","2","Israel","rio-2016"
"108","TTO","Trinidad and Tobago","-","-","1","1","Trinidad and Tobago","rio-2016"
"109","MAR","Morocco","-","-","1","1","Morocco","rio-2016"
"110","NGR","Nigeria","-","-","1","1","Nigeria","rio-2016"
"111","FIN","Finland","-","-","1","1","Finland","rio-2016"
"112","EST","Estonia","-","-","1","1","Estonia","rio-2016"
"113","DOM","Dominican Republic","-","-","1","1","Dominican Republic","rio-2016"
"114","AUT","Austria","-","-","1","1","Austria","rio-2016"
"115","UAE","United Arab Emirates","-","-","1","1","United Arab Emirates","rio-2016"
"116","POR","Portugal","-","-","1","1","Portugal","rio-2016"
"117","USA","United States of America","46","37","38","121","United States of America","rio-2016"
"118","GBR","Great Britain","27","23","17","67","Great Britain","rio-2016"
"119","CHN","People's Republic of China","26","18","26","70","People's Republic of China","rio-2016"
"120","RUS","Russian Federation","19","17","20","56","Russian Federation","rio-2016"
"121","GER","Germany","17","10","15","42","Germany","rio-2016"
"122","JPN","Japan","12","8","21","41","Japan","rio-2016"
"123","FRA","France","10","18","14","42","France","rio-2016"
"124","KOR","Republic of Korea","9","3","9","21","Republic of Korea","rio-2016"
"125","ITA","Italy","8","12","8","28","Italy","rio-2016"
"126","AUS","Australia","8","11","10","29","Australia","rio-2016"
"127","NED","Netherlands","8","7","4","19","Netherlands","rio-2016"
"128","HUN","Hungary","8","3","4","15","Hungary","rio-2016"
"129","BRA","Brazil","7","6","6","19","Brazil","rio-2016"
"130","ESP","Spain","7","4","6","17","Spain","rio-2016"
"131","KEN","Kenya","6","6","1","13","Kenya","rio-2016"
"132","JAM","Jamaica","6","3","2","11","Jamaica","rio-2016"
"133","CRO","Croatia","5","3","2","10","Croatia","rio-2016"
"134","CUB","Cuba","5","2","4","11","Cuba","rio-2016"
"135","NZL","New Zealand","4","9","5","18","New Zealand","rio-2016"
"136","CAN","Canada","4","3","15","22","Canada","rio-2016"
"137","UZB","Uzbekistan","4","2","7","13","Uzbekistan","rio-2016"
"138","KAZ","Kazakhstan","3","5","10","18","Kazakhstan","rio-2016"
"139","COL","Colombia","3","2","3","8","Colombia","rio-2016"
"140","SUI","Switzerland","3","2","2","7","Switzerland","rio-2016"
"141","IRI","Islamic Republic of Iran","3","1","4","8","Islamic Republic of Iran","rio-2016"
"142","GRE","Greece","3","1","2","6","Greece","rio-2016"
"143","ARG","Argentina","3","1","-","4","Argentina","rio-2016"
"144","DEN","Denmark","2","6","7","15","Denmark","rio-2016"
"145","SWE","Sweden","2","6","3","11","Sweden","rio-2016"
"146","RSA","South Africa","2","6","2","10","South Africa","rio-2016"
"147","UKR","Ukraine","2","5","4","11","Ukraine","rio-2016"
"148","SRB","Serbia","2","4","2","8","Serbia","rio-2016"
"149","POL","Poland","2","3","6","11","Poland","rio-2016"
"150","PRK","Democratic People's Republic of Korea","2","3","2","7","Democratic People's Republic of Korea","rio-2016"
"151","THA","Thailand","2","2","2","6","Thailand","rio-2016"
"152","BEL","Belgium","2","2","2","6","Belgium","rio-2016"
"153","SVK","Slovakia","2","2","-","4","Slovakia","rio-2016"
"154","GEO","Georgia","2","1","4","7","Georgia","rio-2016"
"155","AZE","Azerbaijan","1","7","10","18","Azerbaijan","rio-2016"
"156","BLR","Belarus","1","4","4","9","Belarus","rio-2016"
"157","TUR","Turkey","1","3","4","8","Turkey","rio-2016"
"158","ARM","Armenia","1","3","-","4","Armenia","rio-2016"
"159","CZE","Czech Republic","1","2","7","10","Czech Republic","rio-2016"
"160","ETH","Ethiopia","1","2","5","8","Ethiopia","rio-2016"
"161","SLO","Slovenia","1","2","1","4","Slovenia","rio-2016"
"162","INA","Indonesia","1","2","-","3","Indonesia","rio-2016"
"163","ROU","Romania","1","1","2","4","Romania","rio-2016"
"164","BRN","Bahrain","1","1","-","2","Bahrain","rio-2016"
"165","VIE","Vietnam","1","1","-","2","Vietnam","rio-2016"
"166","TPE","Chinese Taipei","1","-","2","3","Chinese Taipei","rio-2016"
"167","CIV","Ivory Coast","1","-","1","2","Ivory Coast","rio-2016"
"168","BAH","Bahamas","1","-","1","2","Bahamas","rio-2016"
"169","IOA","Independent Olympic Athletes","1","-","1","2","Independent Olympic Athletes","rio-2016"
"170","KOS","Kosovo","1","-","-","1","Kosovo","rio-2016"
"171","PUR","Puerto Rico","1","-","-","1","Puerto Rico","rio-2016"
"172","TJK","Tajikistan","1","-","-","1","Tajikistan","rio-2016"
"173","FIJ","Fiji","1","-","-","1","Fiji","rio-2016"
"174","SGP","Singapore","1","-","-","1","Singapore","rio-2016"
"175","JOR","Jordan","1","-","-","1","Jordan","rio-2016"
"176","MAS","Malaysia","-","4","1","5","Malaysia","rio-2016"
"177","MEX","Mexico","-","3","2","5","Mexico","rio-2016"
"178","VEN","Venezuela","-","2","1","3","Venezuela","rio-2016"
"179","IRL","Ireland","-","2","-","2","Ireland","rio-2016"
"180","ALG","Algeria","-","2","-","2","Algeria","rio-2016"
"181","LTU","Lithuania","-","1","3","4","Lithuania","rio-2016"
"182","BUL","Bulgaria","-","1","2","3","Bulgaria","rio-2016"
"183","IND","India","-","1","1","2","India","rio-2016"
"184","MGL","Mongolia","-","1","1","2","Mongolia","rio-2016"
"185","BDI","Burundi","-","1","-","1","Burundi","rio-2016"
"186","PHI","Philippines","-","1","-","1","Philippines","rio-2016"
"187","QAT","Qatar","-","1","-","1","Qatar","rio-2016"
"188","GRN","Grenada","-","1","-","1","Grenada","rio-2016"
"189","NIG","Niger","-","1","-","1","Niger","rio-2016"
"190","NOR","Norway","-","-","4","4","Norway","rio-2016"
"191","TUN","Tunisia","-","-","3","3","Tunisia","rio-2016"
"192","EGY","Egypt","-","-","3","3","Egypt","rio-2016"
"193","ISR","Israel","-","-","2","2","Israel","rio-2016"
"194","TTO","Trinidad and Tobago","-","-","1","1","Trinidad and Tobago","rio-2016"
"195","MAR","Morocco","-","-","1","1","Morocco","rio-2016"
"196","NGR","Nigeria","-","-","1","1","Nigeria","rio-2016"
"197","FIN","Finland","-","-","1","1","Finland","rio-2016"
"198","EST","Estonia","-","-","1","1","Estonia","rio-2016"
"199","DOM","Dominican Republic","-","-","1","1","Dominican Republic","rio-2016"
"200","AUT","Austria","-","-","1","1","Austria","rio-2016"
"201","UAE","United Arab Emirates","-","-","1","1","United Arab Emirates","rio-2016"
"202","POR","Portugal","-","-","1","1","Portugal","rio-2016"
"203","RUS","Russian Federation","11","9","9","29","Russian Federation","sochi-2014"
"204","NOR","Norway","11","5","10","26","Norway","sochi-2014"
"205","CAN","Canada","10","10","5","25","Canada","sochi-2014"
"206","USA","United States of America","9","9","10","28","United States of America","sochi-2014"
"207","NED","Netherlands","8","7","9","24","Netherlands","sochi-2014"
"208","GER","Germany","8","6","5","19","Germany","sochi-2014"
"209","SUI","Switzerland","7","2","2","11","Switzerland","sochi-2014"
"210","BLR","Belarus","5","-","1","6","Belarus","sochi-2014"
"211","AUT","Austria","4","8","5","17","Austria","sochi-2014"
"212","FRA","France","4","4","7","15","France","sochi-2014"
"213","POL","Poland","4","1","1","6","Poland","sochi-2014"
"214","CHN","People's Republic of China","3","4","2","9","People's Republic of China","sochi-2014"
"215","KOR","Republic of Korea","3","3","2","8","Republic of Korea","sochi-2014"
"216","SWE","Sweden","2","7","6","15","Sweden","sochi-2014"
"217","CZE","Czech Republic","2","4","2","8","Czech Republic","sochi-2014"
"218","SLO","Slovenia","2","2","4","8","Slovenia","sochi-2014"
"219","JPN","Japan","1","4","3","8","Japan","sochi-2014"
"220","FIN","Finland","1","3","1","5","Finland","sochi-2014"
"221","LAT","Latvia","1","1","3","5","Latvia","sochi-2014"
"222","GBR","Great Britain","1","1","3","5","Great Britain","sochi-2014"
"223","UKR","Ukraine","1","-","1","2","Ukraine","sochi-2014"
"224","SVK","Slovakia","1","-","-","1","Slovakia","sochi-2014"
"225","ITA","Italy","-","2","6","8","Italy","sochi-2014"
"226","AUS","Australia","-","2","1","3","Australia","sochi-2014"
"227","CRO","Croatia","-","1","-","1","Croatia","sochi-2014"
"228","KAZ","Kazakhstan","-","-","1","1","Kazakhstan","sochi-2014"
"229","RUS","Russian Federation","11","9","9","29","Russian Federation","sochi-2014"
"230","NOR","Norway","11","5","10","26","Norway","sochi-2014"
"231","CAN","Canada","10","10","5","25","Canada","sochi-2014"
"232","USA","United States of America","9","9","10","28","United States of America","sochi-2014"
"233","NED","Netherlands","8","7","9","24","Netherlands","sochi-2014"
"234","GER","Germany","8","6","5","19","Germany","sochi-2014"
"235","SUI","Switzerland","7","2","2","11","Switzerland","sochi-2014"
"236","BLR","Belarus","5","-","1","6","Belarus","sochi-2014"
"237","AUT","Austria","4","8","5","17","Austria","sochi-2014"
"238","FRA","France","4","4","7","15","France","sochi-2014"
"239","POL","Poland","4","1","1","6","Poland","sochi-2014"
"240","CHN","People's Republic of China","3","4","2","9","People's Republic of China","sochi-2014"
"241","KOR","Republic of Korea","3","3","2","8","Republic of Korea","sochi-2014"
"242","SWE","Sweden","2","7","6","15","Sweden","sochi-2014"
"243","CZE","Czech Republic","2","4","2","8","Czech Republic","sochi-2014"
"244","SLO","Slovenia","2","2","4","8","Slovenia","sochi-2014"
"245","JPN","Japan","1","4","3","8","Japan","sochi-2014"
"246","FIN","Finland","1","3","1","5","Finland","sochi-2014"
"247","LAT","Latvia","1","1","3","5","Latvia","sochi-2014"
"248","GBR","Great Britain","1","1","3","5","Great Britain","sochi-2014"
"249","UKR","Ukraine","1","-","1","2","Ukraine","sochi-2014"
"250","SVK","Slovakia","1","-","-","1","Slovakia","sochi-2014"
"251","ITA","Italy","-","2","6","8","Italy","sochi-2014"
"252","AUS","Australia","-","2","1","3","Australia","sochi-2014"
"253","CRO","Croatia","-","1","-","1","Croatia","sochi-2014"
"254","KAZ","Kazakhstan","-","-","1","1","Kazakhstan","sochi-2014"
"255","USA","United States of America","46","28","30","104","United States of America","london-2012"
"256","CHN","People's Republic of China","38","31","22","91","People's Republic of China","london-2012"
"257","GBR","Great Britain","29","17","19","65","Great Britain","london-2012"
"258","RUS","Russian Federation","20","19","28","67","Russian Federation","london-2012"
"259","KOR","Republic of Korea","13","9","8","30","Republic of Korea","london-2012"
"260","GER","Germany","11","20","13","44","Germany","london-2012"
"261","FRA","France","11","11","13","35","France","london-2012"
"262","AUS","Australia","8","15","12","35","Australia","london-2012"
"263","ITA","Italy","8","9","11","28","Italy","london-2012"
"264","HUN","Hungary","8","4","6","18","Hungary","london-2012"
"265","JPN","Japan","7","14","17","38","Japan","london-2012"
"266","NED","Netherlands","6","6","8","20","Netherlands","london-2012"
"267","IRI","Islamic Republic of Iran","6","6","1","13","Islamic Republic of Iran","london-2012"
"268","NZL","New Zealand","6","2","5","13","New Zealand","london-2012"
"269","UKR","Ukraine","5","4","10","19","Ukraine","london-2012"
"270","CUB","Cuba","5","3","7","15","Cuba","london-2012"
"271","ESP","Spain","4","10","4","18","Spain","london-2012"
"272","JAM","Jamaica","4","5","3","12","Jamaica","london-2012"
"273","CZE","Czech Republic","4","3","4","11","Czech Republic","london-2012"
"274","RSA","South Africa","4","1","1","6","South Africa","london-2012"
"275","PRK","Democratic People's Republic of Korea","4","-","2","6","Democratic People's Republic of Korea","london-2012"
"276","BRA","Brazil","3","5","9","17","Brazil","london-2012"
"277","ETH","Ethiopia","3","2","2","7","Ethiopia","london-2012"
"278","KAZ","Kazakhstan","3","1","7","11","Kazakhstan","london-2012"
"279","POL","Poland","3","1","7","11","Poland","london-2012"
"280","CRO","Croatia","3","1","2","6","Croatia","london-2012"
"281","CAN","Canada","2","5","11","18","Canada","london-2012"
"282","BLR","Belarus","2","5","3","10","Belarus","london-2012"
"283","ROU","Romania","2","5","2","9","Romania","london-2012"
"284","KEN","Kenya","2","4","6","12","Kenya","london-2012"
"285","DEN","Denmark","2","4","3","9","Denmark","london-2012"
"286","AZE","Azerbaijan","2","2","6","10","Azerbaijan","london-2012"
"287","SUI","Switzerland","2","2","-","4","Switzerland","london-2012"
"288","NOR","Norway","2","1","1","4","Norway","london-2012"
"289","LTU","Lithuania","2","-","3","5","Lithuania","london-2012"
"290","TUN","Tunisia","2","-","1","3","Tunisia","london-2012"
"291","SWE","Sweden","1","4","3","8","Sweden","london-2012"
"292","MEX","Mexico","1","3","4","8","Mexico","london-2012"
"293","COL","Colombia","1","3","4","8","Colombia","london-2012"
"294","GEO","Georgia","1","2","3","6","Georgia","london-2012"
"295","IRL","Ireland","1","1","4","6","Ireland","london-2012"
"296","ARG","Argentina","1","1","2","4","Argentina","london-2012"
"297","SLO","Slovenia","1","1","2","4","Slovenia","london-2012"
"298","SRB","Serbia","1","1","2","4","Serbia","london-2012"
"299","TTO","Trinidad and Tobago","1","1","2","4","Trinidad and Tobago","london-2012"
"300","TUR","Turkey","1","1","1","3","Turkey","london-2012"
"301","DOM","Dominican Republic","1","1","-","2","Dominican Republic","london-2012"
"302","LAT","Latvia","1","-","1","2","Latvia","london-2012"
"303","TPE","Chinese Taipei","1","-","1","2","Chinese Taipei","london-2012"
"304","GRN","Grenada","1","-","-","1","Grenada","london-2012"
"305","BRN","Bahrain","1","-","-","1","Bahrain","london-2012"
"306","VEN","Venezuela","1","-","-","1","Venezuela","london-2012"
"307","ALG","Algeria","1","-","-","1","Algeria","london-2012"
"308","UGA","Uganda","1","-","-","1","Uganda","london-2012"
"309","BAH","Bahamas","1","-","-","1","Bahamas","london-2012"
"310","EGY","Egypt","-","3","1","4","Egypt","london-2012"
"311","IND","India","-","2","4","6","India","london-2012"
"312","MGL","Mongolia","-","2","3","5","Mongolia","london-2012"
"313","THA","Thailand","-","2","2","4","Thailand","london-2012"
"314","BUL","Bulgaria","-","2","1","3","Bulgaria","london-2012"
"315","FIN","Finland","-","2","1","3","Finland","london-2012"
"316","INA","Indonesia","-","2","1","3","Indonesia","london-2012"
"317","SVK","Slovakia","-","1","3","4","Slovakia","london-2012"
"318","BEL","Belgium","-","1","2","3","Belgium","london-2012"
"319","PUR","Puerto Rico","-","1","1","2","Puerto Rico","london-2012"
"320","EST","Estonia","-","1","1","2","Estonia","london-2012"
"321","ARM","Armenia","-","1","1","2","Armenia","london-2012"
"322","MAS","Malaysia","-","1","1","2","Malaysia","london-2012"
"323","BOT","Botswana","-","1","-","1","Botswana","london-2012"
"324","GUA","Guatemala","-","1","-","1","Guatemala","london-2012"
"325","POR","Portugal","-","1","-","1","Portugal","london-2012"
"326","MNE","Montenegro","-","1","-","1","Montenegro","london-2012"
"327","GAB","Gabon","-","1","-","1","Gabon","london-2012"
"328","CYP","Cyprus","-","1","-","1","Cyprus","london-2012"
"329","QAT","Qatar","-","-","2","2","Qatar","london-2012"
"330","GRE","Greece","-","-","2","2","Greece","london-2012"
"331","SGP","Singapore","-","-","2","2","Singapore","london-2012"
"332","UZB","Uzbekistan","-","-","2","2","Uzbekistan","london-2012"
"333","KSA","Saudi Arabia","-","-","1","1","Saudi Arabia","london-2012"
"334","KUW","Kuwait","-","-","1","1","Kuwait","london-2012"
"335","AFG","Afghanistan","-","-","1","1","Afghanistan","london-2012"
"336","HKG","Hong Kong, China","-","-","1","1","Hong Kong, China","london-2012"
"337","TJK","Tajikistan","-","-","1","1","Tajikistan","london-2012"
"338","CMR","Cameroon","-","-","1","1","Cameroon","london-2012"
"339","MAR","Morocco","-","-","1","1","Morocco","london-2012"
"340","USA","United States of America","46","28","30","104","United States of America","london-2012"
"341","CHN","People's Republic of China","38","31","22","91","People's Republic of China","london-2012"
"342","GBR","Great Britain","29","17","19","65","Great Britain","london-2012"
"343","RUS","Russian Federation","20","19","28","67","Russian Federation","london-2012"
"344","KOR","Republic of Korea","13","9","8","30","Republic of Korea","london-2012"
"345","GER","Germany","11","20","13","44","Germany","london-2012"
"346","FRA","France","11","11","13","35","France","london-2012"
"347","AUS","Australia","8","15","12","35","Australia","london-2012"
"348","ITA","Italy","8","9","11","28","Italy","london-2012"
"349","HUN","Hungary","8","4","6","18","Hungary","london-2012"
"350","JPN","Japan","7","14","17","38","Japan","london-2012"
"351","NED","Netherlands","6","6","8","20","Netherlands","london-2012"
"352","IRI","Islamic Republic of Iran","6","6","1","13","Islamic Republic of Iran","london-2012"
"353","NZL","New Zealand","6","2","5","13","New Zealand","london-2012"
"354","UKR","Ukraine","5","4","10","19","Ukraine","london-2012"
"355","CUB","Cuba","5","3","7","15","Cuba","london-2012"
"356","ESP","Spain","4","10","4","18","Spain","london-2012"
"357","JAM","Jamaica","4","5","3","12","Jamaica","london-2012"
"358","CZE","Czech Republic","4","3","4","11","Czech Republic","london-2012"
"359","RSA","South Africa","4","1","1","6","South Africa","london-2012"
"360","PRK","Democratic People's Republic of Korea","4","-","2","6","Democratic People's Republic of Korea","london-2012"
"361","BRA","Brazil","3","5","9","17","Brazil","london-2012"
"362","ETH","Ethiopia","3","2","2","7","Ethiopia","london-2012"
"363","KAZ","Kazakhstan","3","1","7","11","Kazakhstan","london-2012"
"364","POL","Poland","3","1","7","11","Poland","london-2012"
"365","CRO","Croatia","3","1","2","6","Croatia","london-2012"
"366","CAN","Canada","2","5","11","18","Canada","london-2012"
"367","BLR","Belarus","2","5","3","10","Belarus","london-2012"
"368","ROU","Romania","2","5","2","9","Romania","london-2012"
"369","KEN","Kenya","2","4","6","12","Kenya","london-2012"
"370","DEN","Denmark","2","4","3","9","Denmark","london-2012"
"371","AZE","Azerbaijan","2","2","6","10","Azerbaijan","london-2012"
"372","SUI","Switzerland","2","2","-","4","Switzerland","london-2012"
"373","NOR","Norway","2","1","1","4","Norway","london-2012"
"374","LTU","Lithuania","2","-","3","5","Lithuania","london-2012"
"375","TUN","Tunisia","2","-","1","3","Tunisia","london-2012"
"376","SWE","Sweden","1","4","3","8","Sweden","london-2012"
"377","MEX","Mexico","1","3","4","8","Mexico","london-2012"
"378","COL","Colombia","1","3","4","8","Colombia","london-2012"
"379","GEO","Georgia","1","2","3","6","Georgia","london-2012"
"380","IRL","Ireland","1","1","4","6","Ireland","london-2012"
"381","ARG","Argentina","1","1","2","4","Argentina","london-2012"
"382","SLO","Slovenia","1","1","2","4","Slovenia","london-2012"
"383","SRB","Serbia","1","1","2","4","Serbia","london-2012"
"384","TTO","Trinidad and Tobago","1","1","2","4","Trinidad and Tobago","london-2012"
"385","TUR","Turkey","1","1","1","3","Turkey","london-2012"
"386","DOM","Dominican Republic","1","1","-","2","Dominican Republic","london-2012"
"387","LAT","Latvia","1","-","1","2","Latvia","london-2012"
"388","TPE","Chinese Taipei","1","-","1","2","Chinese Taipei","london-2012"
"389","GRN","Grenada","1","-","-","1","Grenada","london-2012"
"390","BRN","Bahrain","1","-","-","1","Bahrain","london-2012"
"391","VEN","Venezuela","1","-","-","1","Venezuela","london-2012"
"392","ALG","Algeria","1","-","-","1","Algeria","london-2012"
"393","UGA","Uganda","1","-","-","1","Uganda","london-2012"
"394","BAH","Bahamas","1","-","-","1","Bahamas","london-2012"
"395","EGY","Egypt","-","3","1","4","Egypt","london-2012"
"396","IND","India","-","2","4","6","India","london-2012"
"397","MGL","Mongolia","-","2","3","5","Mongolia","london-2012"
"398","THA","Thailand","-","2","2","4","Thailand","london-2012"
"399","BUL","Bulgaria","-","2","1","3","Bulgaria","london-2012"
"400","FIN","Finland","-","2","1","3","Finland","london-2012"
"401","INA","Indonesia","-","2","1","3","Indonesia","london-2012"
"402","SVK","Slovakia","-","1","3","4","Slovakia","london-2012"
"403","BEL","Belgium","-","1","2","3","Belgium","london-2012"
"404","PUR","Puerto Rico","-","1","1","2","Puerto Rico","london-2012"
"405","EST","Estonia","-","1","1","2","Estonia","london-2012"
"406","ARM","Armenia","-","1","1","2","Armenia","london-2012"
"407","MAS","Malaysia","-","1","1","2","Malaysia","london-2012"
"408","BOT","Botswana","-","1","-","1","Botswana","london-2012"
"409","GUA","Guatemala","-","1","-","1","Guatemala","london-2012"
"410","POR","Portugal","-","1","-","1","Portugal","london-2012"
"411","MNE","Montenegro","-","1","-","1","Montenegro","london-2012"
"412","GAB","Gabon","-","1","-","1","Gabon","london-2012"
"413","CYP","Cyprus","-","1","-","1","Cyprus","london-2012"
"414","QAT","Qatar","-","-","2","2","Qatar","london-2012"
"415","GRE","Greece","-","-","2","2","Greece","london-2012"
"416","SGP","Singapore","-","-","2","2","Singapore","london-2012"
"417","UZB","Uzbekistan","-","-","2","2","Uzbekistan","london-2012"
"418","KSA","Saudi Arabia","-","-","1","1","Saudi Arabia","london-2012"
